Number of elements	Merge Sort	Selection Sort
1634	135174	229570
1635	146124	228437
1636	138572	227304
1637	141216	227304
1638	138572	227304
1639	137818	229570
1640	151410	229947
1641	143104	228814
1642	138950	229192
1643	139328	228814
1644	141215	231458
1645	137818	240519
1646	135930	229947
1647	140461	229569
1648	158584	230325
1649	145747	232967
1650	159716	233346
1651	151033	233345
1652	152165	231080
1653	138195	231080
1654	138195	229192
1655	138572	235234
1656	138572	234856
1657	141971	232590
1658	142726	232968
1659	150277	236744
1660	140083	238254
1661	139328	388531
1662	142348	238631
1663	145746	238632
1664	144236	236366
1665	141594	240141
1666	141215	236744
1667	138573	238254
1668	137817	243162
1669	141216	239386
1670	139705	236366
1671	143104	242407
1672	140838	237121
1673	143104	240897
1674	144991	239387
1675	137817	239764
1676	137817	237876
1677	140838	238254
1678	143104	238631
1679	140083	242407
1680	140838	240897
1681	138950	242785
1682	140083	238631
1683	143104	239009
1684	142725	240897
1685	141971	243163
1686	141593	243540
1687	147257	242785
1688	144236	243917
1689	144236	246561
1690	145369	241652
1691	139705	243918
1692	148767	244673
1693	143481	244295
1694	143481	242784
1695	143481	243163
1696	144614	243917
1697	142725	245806
1698	143481	245805
1699	143859	246183
1700	150277	244673
1701	141216	245050
1702	144613	245428
1703	143858	248449
1704	143103	247316
1705	143859	248449
1706	142726	247693
1707	143481	244673
1708	145746	246183
1709	155186	262042
1710	142725	388909
1711	145746	253735
1712	141970	249959
1713	143858	254113
1714	156319	252602
1715	143103	252602
1716	144614	253735
1717	147257	262419
1718	142726	251469
1719	145746	257511
1720	142349	251846
1721	142725	262797
1722	141216	252224
1723	140083	250714
1724	205405	251091
1725	147257	251091
1726	147256	251470
1727	142726	253735
1728	149145	253734
1729	158584	254113
1730	148012	268461
1731	144992	252979
1732	148389	252980
1733	146124	252979
1734	170667	260531
1735	147635	256755
1736	163115	260531
1737	158207	261286
1738	153298	259021
1739	142348	262797
1740	142726	261286
1741	152543	259776
1742	146124	267328
1743	148767	257133
1744	145369	260153
1745	148767	263552
1746	148390	259021
1747	157829	259399
1748	150655	261664
1749	145369	257511
1750	144614	257888
1751	155186	258644
1752	151032	258644
1753	150655	261286
1754	151787	261287
1755	146502	261286
1756	147635	262041
1757	174442	380980
1758	159717	262419
1759	146502	263174
1760	146879	268461
1761	147256	290361
1762	152165	266950
1763	151032	261664
1764	170667	266950
1765	156319	263929
1766	145369	272236
1767	150278	286584
1768	154053	268460
1769	143858	270726
1770	146124	268083
1771	145368	265818
1772	145369	262797
1773	150277	264685
1774	155564	264685
1775	148767	265062
1776	145746	268083
1777	147635	267705
1778	148767	269215
1779	155564	268082
1780	154431	268083
1781	153299	268838
1782	147635	266950
1783	148012	266573
1784	157829	267706
1785	149523	268082
1786	147635	268083
1787	148390	269593
1788	147257	269593
1789	146879	271482
1790	146880	271103
1791	147257	270726
1792	149522	277145
1793	150277	274880
1794	155941	270349
1795	148012	270348
1796	150278	270726
1797	149144	273369
1798	147257	273747
1799	148012	273369
1800	150277	274502
1801	190301	273747
1802	148767	415339
1803	149145	289227
1804	151033	278278
1805	149900	276012
1806	151787	277145
1807	149522	276390
1808	150655	277145
1809	149145	280543
1810	149144	274880
1811	152165	285074
1812	154808	278278
1813	160472	278277
1814	150277	278278
1815	149900	290360
1816	149523	283941
1817	151410	283564
1818	149900	279410
1819	157452	280165
1820	152543	280166
1821	157829	276390
1822	152165	278278
1823	153298	279033
1824	154431	279033
1825	153298	279033
1826	157829	279033
1827	153298	280165
1828	152921	282053
1829	153676	282809
1830	150277	283564
1831	153298	282809
1832	157074	283563
1833	152921	282431
1834	152543	286962
1835	152920	283942
1836	156318	284697
1837	161227	284319
1838	164248	286585
1839	158206	283564
1840	171422	285829
1841	157452	286584
1842	159340	286584
1843	157074	284696
1844	167646	285074
1845	200118	433464
1846	168779	297534
1847	175198	292626
1848	168024	288094
1849	159717	289605
1850	159339	294514
1851	158206	289228
1852	156697	293380
1853	157829	287340
1854	154431	290360
1855	156318	288095
1856	153676	288472
1857	164625	288850
1858	155564	288850
1859	157074	290360
1860	156319	289605
1861	165381	294891
1862	165003	290360
1863	160472	297157
1864	164625	306974
1865	166136	291870
1866	171422	297157
1867	166891	306218
1868	181239	300177
1869	184260	296401
1870	163492	293381
1871	158962	315280
1872	161983	295646
1873	160850	297534
1874	157074	303576
1875	160094	293759
1876	159339	294514
1877	168401	294136
1878	159717	295268
1879	157451	300177
1880	159340	295646
1881	163870	300555
1882	171422	295646
1883	157074	302820
1884	158962	297534
1885	158962	308861
1886	167646	433086
1887	178218	302443
1888	163115	297912
1889	164248	298290
1890	165758	300178
1891	165003	301310
1892	160850	306596
1893	164248	302065
1894	169157	312260
1895	164626	301310
1896	158584	309995
1897	165381	300555
1898	160472	305841
1899	158962	301687
1900	160850	301310
1901	160472	302066
1902	159717	302066
1903	163492	302443
1904	160095	316413
1905	163115	302820
1906	178973	304708
1907	160849	302821
1908	164626	312637
1909	164248	305463
1910	158962	308861
1911	161982	305086
1912	162360	309239
1913	159716	306974
1914	161983	312260
1915	161227	308107
1916	161604	313393
1917	161228	308861
1918	171800	313015
1919	160094	309239
1920	159339	314148
1921	162738	316413
1922	160850	316791
1923	166514	315658
1924	164248	315281
1925	163870	316791
1926	168779	316414
1927	160472	315658
1928	159717	322832
1929	159717	316791
1930	169912	334915
1931	160094	311883
1932	163870	313770
1933	161983	313015
1934	165758	315280
1935	165003	314526
1936	169912	312260
1937	171422	316413
1938	175198	313015
1939	193700	317169
1940	167269	313770
1941	164626	318301
1942	174820	314148
1943	172177	321322
1944	175952	316414
1945	166891	321699
1946	169156	317546
1947	168024	322077
1948	187658	317924
1949	205404	318679
1950	196720	325098
1951	195965	332649
1952	183882	319812
1953	169911	318679
1954	187280	328496
1955	171044	326231
1956	165003	330761
1957	163870	328118
1958	162737	327741
1959	167646	321322
1960	164625	326231
1961	162737	322077
1962	165003	325098
1963	166891	335670
1964	183127	323587
1965	166514	472354
1966	177841	322832
1967	165380	327741
1968	199741	325098
1969	197475	341334
1970	195964	328496
1971	193322	336047
1972	174443	323965
1973	171422	323587
1974	168401	327741
1975	167646	323587
1976	169534	329628
1977	174065	326986
1978	167269	331516
1979	168024	329251
1980	166513	333027
1981	171044	329628
1982	173688	335670
1983	181995	330384
1984	171800	336047
1985	168023	335670
1986	171422	339823
1987	172932	334160
1988	167646	331894
1989	174065	337558
1990	168024	334915
1991	165758	348130
1992	165758	331517
1993	174442	332272
1994	168401	332272
1995	175953	333027
1996	168023	333404
1997	169534	331516
1998	226171	356060
1999	169534	341712
2000	205782	339446
2001	166513	334915
2002	173687	341712
2003	290360	337936
2004	172555	333404
2005	171045	338313
2006	173310	335670
2007	169157	345487
2008	171422	339445
2009	168779	439127
2010	166891	346998
2011	172555	345110
2012	185392	350018
2013	169912	338691
2014	175953	343222
2015	168401	339069
2016	169534	344354
2017	171045	349262
2018	175576	340201
2019	169156	340956
2020	171799	338313
2021	171045	343222
2022	174442	339446
2023	179729	346242
2024	177840	341712
2025	174065	348130
2026	170289	342466
2027	176709	342844
2028	181240	347752
2029	179351	353416
2030	171800	346997
2031	178218	342466
2032	172932	356815
2033	172177	344354
2034	185392	345110
2035	172555	345487
2036	170289	351529
2037	175953	349640
2038	180862	350395
2039	173310	349263
2040	201629	351906
2041	173688	348130
2042	176708	356059
2043	185393	349262
2044	194077	350773
2045	195964	346620
2046	196342	354172
2047	193322	350773
2048	189546	350018
2049	170289	354172
2050	176708	350018
2051	191434	357947
2052	186526	348885
2053	173310	355682
2054	171044	352284
2055	175953	351529
2056	174820	355682
2057	175198	368142
2058	179351	356059
2059	177085	351151
2060	182372	360213
2061	179729	353793
2062	182372	354171
2063	179351	361346
2064	195587	362101
2065	210313	359080
2066	197098	365121
2067	191056	356815
2068	185393	367764
2069	172932	357948
2070	182749	367009
2071	176331	361345
2072	177085	357570
2073	177464	357192
2074	179351	359080
2075	184260	494254
2076	177463	356814
2077	187280	361346
2078	186526	359835
2079	189923	360213
2080	177464	364743
2081	178596	357947
2082	177841	365121
2083	177086	361346
2084	183882	361724
2085	178596	381357
2086	180484	366631
2087	180484	365499
2088	183504	362856
2089	181995	374938
2090	182372	368519
2091	179351	371541
2092	181995	372672
2093	180106	376448
2094	188413	372673
2095	185770	387399
2096	180862	405145
2097	192944	369275
2098	179351	365877
2099	184637	383623
2100	200874	370030
2101	186148	371163
2102	179352	371917
2103	180861	379092
2104	232213	367009
2105	176330	367009
2106	179729	378336
2107	177086	375316
2108	385511	369274
2109	176330	368142
2110	179351	368142
2111	188413	368519
2112	179351	369652
2113	253357	369275
2114	179729	379092
2115	249581	371163
2116	180107	373806
2117	181995	370030
2118	177463	380225
2119	178219	372295
2120	193321	379470
2121	177085	373051
2122	191811	372673
2123	180107	373428
2124	180862	372295
2125	185015	382868
2126	186148	373428
2127	183127	374561
2128	180862	373805
2129	181239	371540
2130	181617	374939
2131	181617	375694
2132	180862	375694
2133	185771	376071
2134	181994	376449
2135	183127	376449
2136	182749	377204
2137	183505	375693
2138	182750	377959
2139	182749	376449
2140	182749	377582
2141	186147	379092
2142	184637	387399
2143	191812	396083
2144	193700	393817
2145	185393	382868
2146	184637	381357
2147	181617	380602
2148	181239	391552
2149	186525	381358
2150	181240	380602
2151	184260	380980
2152	183882	392685
2153	183882	382113
2154	192189	383246
2155	188791	382490
2156	185770	384000
2157	183505	383623
2158	184638	384755
2159	184260	385133
2160	185771	385133
2161	184637	389664
2162	190301	394573
2163	190301	385511
2164	185393	385133
2165	194077	385511
2166	192944	385133
2167	186903	387776
2168	260909	388153
2169	194832	399859
2170	193699	396838
2171	196720	390042
2172	185392	400236
2173	181617	392685
2174	187280	391552
2175	188414	390796
2176	389664	390041
2177	183883	390796
2178	189169	395327
2179	219375	399104
2180	191434	391552
2181	228436	391930
2182	205404	392685
2183	195210	393062
2184	211446	393440
2185	191434	393817
2186	205405	394195
2187	190301	393817
2188	206537	394573
2189	203516	394950
2190	227682	395705
2191	211446	410808
2192	188413	399482
2193	198608	398348
2194	187658	403257
2195	190679	400236
2196	197097	410432
2197	187658	409298
2198	192944	397593
2199	185393	396083
2200	187280	398727
2201	189168	399482
2202	186525	399103
2203	184259	399859
2204	186903	400614
2205	189168	398726
2206	187280	400992
2207	194455	400991
2208	188036	402124
2209	188035	400992
2210	188413	402502
2211	189168	402502
2212	188791	403257
2213	186903	403257
2214	187280	404012
2215	190678	415718
2216	191056	416850
2217	195587	405523
2218	205026	412697
2219	188413	406655
2220	212579	412319
2221	187658	410431
2222	194832	417983
2223	187658	411564
2224	184260	407033
2225	186903	407033
2226	189924	407788
2227	195587	405900
2228	187658	408543
2229	189545	408921
2230	189923	408544
2231	190678	409676
2232	191056	424024
2233	191057	419870
2234	192566	411187
2235	188036	410809
2236	191434	411563
2237	190302	411186
2238	191056	424402
2239	188791	410809
2240	189546	419493
2241	191056	417605
2242	196342	414585
2243	192189	420248
2244	200118	416095
2245	194076	423647
2246	198230	417605
2247	197098	415340
2248	196720	415717
2249	191434	416095
2250	191811	423269
2251	193322	416473
2252	192189	416850
2253	199741	416094
2254	200495	430821
2255	203894	416094
2256	211068	416850
2257	197852	418361
2258	215976	418738
2259	208425	419493
2260	198230	418738
2261	201628	420248
2262	193322	420248
2263	193699	421381
2264	193322	420626
2265	198608	421381
2266	200874	422136
2267	194077	422514
2268	212578	428932
2269	222396	422891
2270	211068	430821
2271	206914	458006
2272	218620	425912
2273	207293	434973
2274	190678	427800
2275	190679	431198
2276	192189	462915
2277	192189	425912
2278	213711	427045
2279	196720	424402
2280	205782	425157
2281	192566	426668
2282	191812	426667
2283	194832	437994
2284	194454	546738
2285	203516	433464
2286	197853	436484
2287	194454	436107
2288	203516	437995
2289	192944	439505
2290	192567	431953
2291	195587	432709
2292	190679	429688
2293	192567	431575
2294	194455	432330
2295	194832	432331
2296	193699	432709
2297	195210	434974
2298	202007	432708
2299	195587	433841
2300	194455	434596
2301	194455	437994
2302	200495	441393
2303	195587	435729
2304	195209	435729
2305	195209	445924
2306	194454	436484
2307	195965	436107
2308	202006	436861
2309	203516	438372
2310	200873	445546
2311	195587	444413
2312	201251	439883
2313	198607	450455
2314	194832	441015
2315	199363	439505
2316	194077	440260
2317	192945	444035
2318	202761	452342
2319	197098	441015
2320	197853	439127
2321	196720	441015
2322	197097	442526
2323	201251	441771
2324	197475	442525
2325	197475	443658
2326	197853	442903
2327	198608	453475
2328	203894	444413
2329	204271	444414
2330	200119	445546
2331	205782	445168
2332	198986	452342
2333	205026	465181
2334	204272	447434
2335	208047	457629
2336	196342	474998
2337	205404	448189
2338	229947	447434
2339	204649	447057
2340	197475	448566
2341	211824	448944
2342	205782	448944
2343	202384	452343
2344	219752	450077
2345	200873	450833
2346	199363	451210
2347	207292	452342
2348	209558	450454
2349	218620	465935
2350	209558	452720
2351	202383	451587
2352	212956	453097
2353	232968	453098
2354	230702	453098
2355	232212	453098
2356	266195	454230
2357	217865	454230
2358	202006	455364
2359	204272	455741
2360	205782	469334
2361	201251	461027
2362	228059	458006
2363	202762	474619
2364	198985	496897
2365	209558	461405
2366	202006	644531
2367	234856	459139
2368	200118	457629
2369	203139	468201
2370	203516	459139
2371	201250	470845
2372	203894	460272
2373	201628	461027
2374	204272	472732
2375	204271	477263
2376	209180	464048
2377	213333	473865
2378	204649	498785
2379	202383	472732
2380	207670	471222
2381	200874	463670
2382	200496	464803
2383	200496	464802
2384	203516	464425
2385	205027	465180
2386	209558	465935
2387	204272	465935
2388	203517	465558
2389	203517	466691
2390	206159	479151
2391	206537	467824
2392	203139	466313
2393	238631	467446
2394	205027	467824
2395	237122	477640
2396	218242	480662
2397	208425	470088
2398	231080	477263
2399	201629	474620
2400	214844	471599
2401	205027	475753
2402	202384	471599
2403	205027	471599
2404	204649	471977
2405	243918	471221
2406	206915	473109
2407	204271	481417
2408	206915	473487
2409	240897	474242
2410	209936	482549
2411	221640	475375
2412	206915	476885
2413	212201	476130
2414	208047	476508
2415	215221	476508
2416	210690	544472
2417	231458	480661
2418	208425	478773
2419	219374	487458
2420	212955	483305
2421	216354	480284
2422	208802	483682
2423	205405	479528
2424	213711	481417
2425	219753	492366
2426	211446	481039
2427	203894	481039
2428	205404	481794
2429	214844	486325
2430	207292	482549
2431	251846	482549
2432	213711	482927
2433	252224	483304
2434	240519	483682
2435	257133	484059
2436	286584	484060
2437	314525	485193
2438	230702	485193
2439	209935	488213
2440	226171	495387
2441	217865	487458
2442	240897	486702
2443	224661	488968
2444	259398	490479
2445	208803	488212
2446	212578	495387
2447	205405	498785
2448	206537	490478
2449	209936	489345
2450	216355	489723
2451	205782	490101
2452	215976	490478
2453	210313	490856
2454	209558	492366
2455	209180	494631
2456	218242	501806
2457	211068	492366
2458	211068	492744
2459	210313	500295
2460	210312	494632
2461	215222	495386
2462	210691	499540
2463	209558	497275
2464	214089	502938
2465	212200	501806
2466	209180	496142
2467	207670	496519
2468	208425	496897
2469	211445	510113
2470	208425	505581
2471	222773	502938
2472	210313	498407
2473	210690	498408
2474	213334	499163
2475	213334	499540
2476	211823	499918
2477	211823	500295
2478	214088	500296
2479	212956	516909
2480	223151	504071
2481	214844	512378
2482	212579	502938
2483	217109	505960
2484	216732	510112
2485	212956	524839
2486	208425	503694
2487	208047	504071
2488	209181	504071
2489	214089	513133
2490	218997	505204
2491	213711	505204
2492	219752	505960
2493	213334	506337
2494	227304	506715
2495	218243	508224
2496	220885	508603
2497	217110	508224
2498	235989	508980
2499	219375	514643
2500	222018	518042
