Number of elements	Merge Sort	Selection Sort
399	30584	15858
400	33604	15858
401	30207	15859
402	37758	16236
403	29452	16236
404	30206	16236
405	33605	16614
406	29451	18124
407	38513	26808
408	40779	27186
409	43799	24920
410	41534	28697
411	43422	28696
412	41911	28696
413	50973	29452
414	42289	29451
415	42667	30207
416	44177	31339
417	47575	31339
418	45310	31340
419	47198	31339
420	47953	31339
421	46443	31717
422	47198	31717
423	46064	31717
424	45687	28319
425	44555	31339
426	44177	28319
427	36625	18501
428	32849	19257
429	31717	18502
430	40779	18501
431	33982	18502
432	36626	18501
433	33982	18124
434	32095	18502
435	32094	18502
436	31340	18502
437	33227	18879
438	32095	18879
439	33227	18879
440	36625	19257
441	32472	19256
442	33227	19257
443	37381	18880
444	37003	18879
445	45310	19257
446	33605	19634
447	33605	19256
448	32095	19634
449	32094	19634
450	32094	19634
451	31339	20012
452	31340	19635
453	33604	20012
454	33227	20012
455	33227	20390
456	33604	20390
457	38136	20389
458	41157	20767
459	37758	20767
460	34360	20767
461	45687	20390
462	33982	21145
463	41156	21145
464	33982	21144
465	35870	21145
466	40401	21144
467	37758	31717
468	38136	21522
469	38514	21522
470	34737	21522
471	39268	21900
472	34737	21900
473	36626	21899
474	37758	22278
475	35115	21900
476	35493	22277
477	34738	22277
478	37003	21900
479	39268	22277
480	38891	22655
481	47198	22655
482	41911	22655
483	38136	22655
484	35870	23410
485	47576	23032
486	37758	25298
487	38513	23033
488	39646	23410
489	39646	23033
490	41156	23410
491	37003	23410
492	37381	23410
493	37003	23410
494	39268	23410
495	41912	23787
496	40023	24165
497	40024	24165
498	38514	23787
499	37381	24165
500	37758	24166
501	38513	23788
502	38135	24921
503	39646	24543
504	37758	24166
505	40402	24542
506	43422	24166
507	37380	24543
508	37758	24920
509	41156	24921
510	43044	24921
511	44177	24920
512	57015	25298
513	39646	24920
514	38891	25298
515	47575	25298
516	39269	25298
517	40023	25676
518	39268	25676
519	38891	26053
520	39646	26053
521	39646	25676
522	39269	26053
523	39646	25675
524	41157	26053
525	40402	26430
526	40024	26430
527	39646	27186
528	39269	26808
529	39268	26430
530	41156	26808
531	44555	27186
532	40401	27186
533	40401	27186
534	41912	27563
535	40779	27564
536	40024	27563
537	39646	27563
538	40024	27564
539	41534	27563
540	41534	27563
541	41157	28318
542	41156	27941
543	41534	30207
544	41156	28319
545	40779	28318
546	42289	28319
547	42667	31339
548	43799	28696
549	41534	28696
550	41156	28697
551	44932	30585
552	44177	28696
553	44177	29073
554	42667	29074
555	43044	29452
556	42666	29452
557	43421	29452
558	41534	29829
559	47575	29451
560	42667	29451
561	43044	29829
562	43044	29829
563	43421	29829
564	43044	30206
565	42667	30206
566	44555	29828
567	43044	30206
568	43044	30584
569	43799	30206
570	43044	30962
571	42666	30962
572	43044	30961
573	44555	30584
574	44177	30962
575	42667	31339
576	42667	31339
577	43044	31339
578	44555	31339
579	43800	31339
580	44555	32094
581	44555	31717
582	43799	32095
583	43800	32094
584	44177	32095
585	43799	37381
586	43799	32472
587	44177	32095
588	44177	32472
589	43800	32472
590	44932	32850
591	45687	32850
592	45687	32850
593	45687	32850
594	46065	32849
595	45688	32849
596	45309	33228
597	46065	33605
598	45310	33227
599	45687	33605
600	50974	33605
601	46443	35493
602	50596	33983
603	46065	33982
604	45310	33983
605	46065	35115
606	47197	33983
607	48708	34737
608	46065	34360
609	46820	34738
610	46065	34360
611	46443	34737
612	52862	35115
613	45688	35115
614	49086	35115
615	47576	35492
616	46065	35870
617	46443	35115
618	45687	35871
619	45310	37003
620	46443	35870
621	47198	35870
622	46443	36625
623	67587	43044
624	46820	36248
625	47198	39646
626	46820	38513
627	47198	36248
628	48330	36625
629	48331	36625
630	48330	36626
631	49086	37380
632	47953	37003
633	50596	37003
634	56637	37003
635	47953	37381
636	56259	37758
637	47953	38135
638	46820	37758
639	47575	37758
640	47575	38136
641	47953	38136
642	52862	38136
643	47953	38513
644	48708	38513
645	49085	38891
646	48331	38513
647	47575	38514
648	48708	38514
649	48708	38891
650	47952	38891
651	50218	39646
652	47952	39269
653	49086	39268
654	48331	39268
655	49841	40024
656	50218	39646
657	50596	39646
658	50596	39646
659	50973	40024
660	51351	40024
661	50596	40401
662	50596	40779
663	50219	40401
664	50596	41534
665	50973	40779
666	50218	40779
667	50974	41156
668	54750	41534
669	56637	42667
670	53239	43044
671	51351	41534
672	50596	41534
673	53239	42289
674	51351	41534
675	52106	41912
676	52107	41911
677	52484	41911
678	145747	42289
679	57015	42289
680	51351	42667
681	51351	43800
682	51729	42666
683	51728	43045
684	52107	43044
685	52484	43045
686	52106	43044
687	50973	43044
688	52107	43421
689	51351	43422
690	55127	43799
691	52484	43422
692	52484	43799
693	53239	43799
694	53616	43800
695	53239	44177
696	53994	43799
697	54372	43800
698	53239	44554
699	54749	44177
700	52861	44933
701	53616	44555
702	52484	44932
703	55882	44554
704	53239	44932
705	54749	45688
706	54372	45687
707	54750	45687
708	53994	46065
709	54749	46065
710	56260	45687
711	56637	46065
712	57770	46065
713	55882	46442
714	56637	46443
715	60036	46442
716	55882	46821
717	55505	46443
718	64567	46820
719	58147	46820
720	55504	47198
721	56637	46821
722	55504	47576
723	58902	47576
724	63811	48708
725	61168	47953
726	63812	47953
727	71363	53239
728	64567	47952
729	66454	48331
730	55882	48331
731	65699	49086
732	60036	48708
733	58902	48708
734	56638	49086
735	56260	49085
736	60035	49086
737	74761	52861
738	58903	49085
739	64567	54371
740	58148	49463
741	57393	49463
742	61546	49841
743	59658	50218
744	66832	50218
745	58902	50219
746	59658	51351
747	73629	50596
748	58147	50219
749	1614916	55126
750	46820	51729
751	48331	51728
752	43422	55127
753	54749	51351
